Temperature,Magnetization_a_n20,Magnetization_b_n20,Magnetization_a_n60,Magnetization_b_n60,Magnetization_a_n100,Magnetization_b_n100,Magnetization_a_n200,Magnetization_b_n200,Magnetization_a_n550,Magnetization_b_n550,Magnetization_a_n900,Magnetization_b_n900
0.1,1.0,1.0,1.0,1.0,0.9746005044388396,1.0,0.9612567638137355,1.0,0.016351373873623627,1.0,0.03199924939105615,0.9998986924836638
0.30526315789473685,1.0,1.0,0.9821905682529453,1.0,0.8800555549382785,1.0,0.8573790291218987,1.0,0.19293143207499716,0.9928388270433359,0.025072560922162593,0.9996228683878822
0.5105263157894737,0.9584915723158631,1.0,0.1295226349336859,1.0,0.03190408995455607,1.0,0.4566547038366241,1.0,0.0616092952502548,1.0,0.03340651770535883,0.8743840870903903
0.7157894736842105,0.25350607215475385,0.999966667037033,0.06781813535405162,1.0,0.07825024166398152,0.9999655559382673,0.21127520805324382,1.0,0.286192739272594,0.9999683235842832,0.029338019701015662,0.9997655334693812
0.9210526315789473,0.06398595571160319,0.9998077799135565,0.06016118339425859,0.9996396336337006,0.0005235497383362433,0.9995260052666081,0.0002342196197820016,0.9996721147542804,0.10299513843785574,0.9971233046905539,0.1509176070883163,0.9994951661030927
1.1263157894736844,0.005968822568638132,0.9979144676170264,0.05627307844727651,0.9980581697240402,0.03171542538416239,0.9982940189553449,0.07706925478605793,0.9985800157776026,0.008320594417637786,0.9518252625475878,0.013221828399437535,0.9796357818246464
1.3315789473684212,0.011317652026088601,0.9938945122831968,0.015544642096569302,0.9941296948552423,0.029869890334551834,0.9942371751424985,0.04198208908789903,0.994127954133843,0.005548746428069989,0.9502451588921739,0.014529245971341052,0.9835285040042766
1.536842105263158,0.00691547871690314,0.33058077132476305,0.002986263115595013,0.9849894260434144,0.012006977700247773,0.9852977189142342,0.02427028588571238,0.985584715725381,0.04789045778279231,0.9826994245518484,0.0088125934403198,0.9596675592493418
1.7421052631578948,0.0015410939878445812,0.3646670592548972,0.0008359166379632796,0.9633448517238697,0.00347373918067577,0.9664339285119055,0.014594615615382051,0.9674799168898124,0.010385419959980245,0.9680413247933609,0.006008180156022959,0.9683239815853898
1.9473684210526316,0.013377629137454026,0.2990811213208743,0.011079136157746397,0.9354129398562239,0.0062923745291718946,0.9402262197086702,0.010773880290218996,0.938657903801069,0.020149473086662675,0.8974108368492874,0.020787744333704932,0.901645932329147
2.1526315789473687,0.004502172198086687,0.1303418850901657,0.016566482594637836,0.8557204919945335,0.015128276352484971,0.8827846357262698,0.037394251174986945,0.8770974766947035,0.0031827929184625237,0.8875235931721971,0.01834905538086614,0.8743964820143973
2.3578947368421055,0.0076654703836624045,0.16531594093398963,0.007505101795165239,0.7281504279582078,0.0010759880445772806,0.7729409673225852,0.010582771302541084,0.8229043010633216,0.011537649581671316,0.8222246015448313,0.0012759858223797503,0.804408518917691
2.5631578947368423,0.0024088621237541813,0.06961367095921156,0.0037825505642529907,0.39881742054717917,0.011330318552016092,0.3460317107587693,0.016980922434195175,0.38718758680459103,0.007351433468921052,0.6104285305920842,0.011627574508431387,0.678097601384676
2.768421052631579,0.007274363618182021,0.017816468705903272,0.0031610759880445773,0.06143598404462173,0.0028199686670148092,0.15484583504627727,0.0017729803002188838,0.26724069732558525,0.011481286571563347,0.3811319672205662,0.006296868306401532,0.13458336882676614
2.973684210526316,0.00031221875312496393,0.02386862368195911,0.0071884386469779965,0.021791980089110114,0.009320563104854391,0.11615804268841458,0.006322818635348497,0.06821013099854445,0.006517624551646395,0.002405144993338458,0.0144872958201699,0.057905554135818244
3.1789473684210527,0.008641015099832228,0.009973222519749785,0.006930293367110734,0.027445620974581763,0.00895101165542605,0.015331607426584149,0.009850223886401261,0.03554927167475917,0.004987984981985048,0.11174611191188784,0.004406321411243579,0.06463925709467426
3.3842105263157896,0.003359962667081478,0.029011899867779255,0.007008811013210966,0.03358999714817983,0.0026744147287252355,0.02376595815602049,0.0007389917889801224,0.01924611948756125,0.0051120644114055315,0.009765022812877841,0.004678244315803898,0.010914915760195258
3.5894736842105264,0.00046443928400795466,0.02720080887990134,0.0006448076502853665,0.00870582919449043,0.012783413517627582,0.0029915223164187045,0.0035391828979678,0.02776846923923068,0.002142238823609031,0.0031765303617838575,0.004911328145736652,0.018776137055267286
3.794736842105263,0.002948856123820847,0.01921756424928612,0.0037540323626033788,0.032439639559560446,0.007137920689770116,0.003194631170764769,0.0013970955878268023,5.28883012410947e-05,0.0022557325120629978,0.0016384868450956597,0.0023260729201774297,0.010267787148044032
4.0,0.0005211053210519887,0.005296607815468719,0.005848083169446266,0.01822831598167428,0.0212302085532383,0.02391617870912546,0.00711636537371807,0.011320874212508748,0.006578957203505819,0.001720869768113685,0.0012685291151085989,0.009550708695829304
