Temperature,Magnetization_a_n20,Magnetization_b_n20,Magnetization_a_n50,Magnetization_b_n50,Magnetization_a_n70,Magnetization_b_n70,Magnetization_a_n100,Magnetization_b_n100,Magnetization_a_n150,Magnetization_b_n150
0.1,1.0,1.0,0.9243603599963637,1.0,0.9464496029621634,1.0,0.6501764628640115,0.9997678811325138,0.3321531432342434,0.9994421605168972
0.4413793103448276,0.9872516439227887,1.0,0.9300265653882284,1.0,0.9131809635400508,1.0,0.5819003848445975,0.9904598943445017,0.4562158631394296,0.998876240307337
0.7827586206896552,0.619990707164574,0.9999868688195068,0.3844401571701296,0.99985899132332,0.30361107463560977,0.9997290070663066,0.23467863960970092,0.999985050656054,0.22160395686238862,0.9996498351868499
1.124137931034483,0.4564630660296361,0.9982555731760284,0.28718093756628726,0.9977624468439714,0.2594484615595513,0.998259180643197,0.20227613862486238,0.9978527489621315,0.14834664969714112,0.9806117783322054
1.4655172413793105,0.35667417500833326,0.9892071797254574,0.2330550196462662,0.9890045555095404,0.19054122108434696,0.9871712695542758,0.15368410420096765,0.9893397036393571,0.14292017252350986,0.986850772551119
1.806896551724138,0.31785739537984464,0.960426662356946,0.21144513691780895,0.9556311552408562,0.16635935856347772,0.9598462930388871,0.13796062666033676,0.9567287199119201,0.1077088110221109,0.955674521806177
2.148275862068966,0.2856627710831204,0.8818587691033424,0.18017878607286797,0.8621407864567024,0.14759013978213786,0.8917185540694395,0.12903930263330674,0.876284279956768,0.11296478486749292,0.8848932839062231
2.4896551724137934,0.26822557347905573,0.7353592387955677,0.16350057070130605,0.6421361400389896,0.1321989532573264,0.68542482254869,0.11463641781396146,0.6574877021444228,0.10017649653370506,0.7448858092342502
2.831034482758621,0.2549297481843618,0.6084867829617883,0.16470298279815357,0.47141261199381823,0.13098626709398317,0.4607581164403822,0.1114301875738629,0.42925182573913395,0.09400362959296707,0.36951842237283794
3.1724137931034484,0.2422874516419026,0.5114564499348491,0.14991565741760185,0.36680558782234524,0.134996616195796,0.30858101000422794,0.11182674922475531,0.28545469237684473,0.08955613242963875,0.21236633973394212
3.513793103448276,0.23530570398278805,0.4457460025656307,0.14658963040777367,0.2941255138836982,0.1274088140523833,0.26004874409637996,0.10245573277037606,0.2132204725204796,0.08749918350993088,0.16594795338767623
3.855172413793104,0.234891566751851,0.37990727366390237,0.14941505641357158,0.2461595337420834,0.12378287665203959,0.22428056282259776,0.10249896465692265,0.17617822042201595,0.07990666760941807,0.13951643586091722
4.196551724137931,0.22262098362642807,0.34503287845577324,0.14178402238361232,0.21580347673255829,0.12006978284490633,0.1944707629215866,0.10654256017615986,0.16531873415420048,0.08070867971030596,0.12527469419500814
4.537931034482758,0.22633104716113978,0.33560065049847987,0.1411961495338431,0.20862294320259392,0.1182599887158427,0.17510587916139378,0.099281017363461,0.14578600216159432,0.08089251623720972,0.12030100706053475
4.879310344827586,0.21921293724305815,0.3055352976232564,0.1399359602428258,0.19873334612781693,0.11742536511175213,0.17119451895868296,0.10054342885425402,0.1358135776406299,0.0815203886829426,0.10779325461358975
5.220689655172413,0.21578569913435217,0.2976464884193089,0.13259260007474674,0.17704669649801516,0.11328370420500804,0.15676320729805038,0.09707942344016728,0.13387359723639156,0.08115864149520376,0.1123467439722831
5.562068965517241,0.21472207351440895,0.2811971596246503,0.13146614680659793,0.1774442682397148,0.11401270117040666,0.1517309348967615,0.09227300734336018,0.1289057686285997,0.07353366801008743,0.10203869994579179
5.903448275862069,0.21124231068373048,0.2691407157503459,0.13360188280926458,0.1765561964020566,0.11474054374631137,0.14848536883465824,0.0937509722124019,0.12072342703609056,0.08146436231283859,0.09974983417675916
6.244827586206896,0.21078170927566386,0.2688296077817396,0.1310746356097413,0.17036757204472683,0.11097925417780773,0.13730539518359844,0.09155564085211261,0.12261189280916356,0.07814318373888479,0.09287367467668677
6.586206896551724,0.21239280411308975,0.2589216270542722,0.13086009232229978,0.15866870031615843,0.11091691714513707,0.14019742946319444,0.09082797143463199,0.11667861940788476,0.0757287973522153,0.09946606599933334
6.927586206896551,0.20765345804587834,0.25378329511823117,0.1268375066918516,0.15904000969687176,0.10977868910415046,0.13584942143441553,0.09289481924425005,0.11724366420541206,0.07356046908617085,0.09125968424561368
7.268965517241379,0.20321208876678015,0.249101524227028,0.1273785113281684,0.16117655377218412,0.11096973046448304,0.130882949234279,0.09231462308461533,0.10637690528378502,0.07595828998360286,0.09011114365848157
7.610344827586207,0.20401511095847522,0.24161776143675318,0.1312924111877658,0.15190917263461984,0.10638853575793605,0.1326615748470073,0.09244250058080221,0.11030999686871851,0.07274135278094834,0.0877828170085824
7.951724137931034,0.20202220179594146,0.24091978868900318,0.12839829900708075,0.15171563923596734,0.10837033392159098,0.1289363599501881,0.09012797850526763,0.10427167402349471,0.07285582973909353,0.0881251704528237
8.293103448275863,0.19795860647872243,0.23596933364309453,0.1285764790254644,0.15408288805163584,0.10802199689180628,0.1298757444008502,0.08810395854587329,0.1096399026272462,0.0757240835951152,0.08700949148661796
8.63448275862069,0.19651316653367137,0.23088655670144745,0.12667791234431977,0.1456684275916405,0.10926556297411137,0.12670146188999531,0.09086029434046122,0.09957535782466845,0.07410537940694202,0.08661016892085263
8.975862068965517,0.19364248845971252,0.23014211977656795,0.12610781709275662,0.1461217563458955,0.10861448729955107,0.12571763344381803,0.08563792284926416,0.10723346228825972,0.07309313373938983,0.08620343902250145
